,PD vs. prodromal,healthy vs. prodromal,PD vs. healthy
fit_time,7.2622785568237305,2.3390533447265627,6.498456501960755
score_time,0.01156156063079834,0.005296540260314941,0.007346153259277344
test_accuracy,0.6940165631469979,0.8244665718349928,0.7402432575356953
train_accuracy,1.0,1.0,1.0
test_precision_weighted,0.6738527706091257,0.8278499469273463,0.6886093663801394
train_precision_weighted,1.0,1.0,1.0
test_f1_weighted,0.6746957683983167,0.821354309077287,0.6931127711345911
train_f1_weighted,1.0,1.0,1.0
test_roc_auc,0.7660214338209753,0.890758281573499,0.663313290163429
train_roc_auc,1.0,1.0,1.0
